大细辛 　　马蹄细辛 苕叶细辛
碱蓬 　　 老虎尾 和尚头 猪尾巴 盐蒿
余甘子 　　油柑子 橄榄子 滇橄榄 青果
地骨皮 　　 枸杞皮
芭蕉花 　　 芭蕉
栝楼 　　吊瓜 老鸦瓜
大块瓦 　　花叶细辛 矮细辛 铺地细辛 土细辛 白三百棒
狗骨 　　 龙沙 狗骨 卑相 卑盐
稻槎菜 　　 鹅里腌 回荠
威灵仙叶 　　铁脚威灵仙 百条根 老虎须 铁扫帚 能消 葳灵仙 葳苓仙 灵仙 黑脚威灵仙 九草阶 风车 鲜须苗 黑骨头 黑木通 铁杆威灵仙 铁搧帚 七寸风 铁脚灵仙 牛闲草 牛杆草 辣椒藤 铁灵仙 灵仙藤 黑灵仙 黑须公 芝查藤根
甜茶 　　伞花八仙叶
乌金煎丸 　　 乌金煎丸
紫草 　　山紫草 紫丹 紫芙 藐 地血 鸦衔草 紫草根
明党参 　　 山萝卜 粉沙参
金银散 　　 金银花汤 金银花酒
柽柳 　　垂丝柳 西河柳 西湖柳 红柳 阴柳
白仙茅 　　细叶刺参 刺参
白仙茅 　　 细叶刺参 刺参科属
兔肉 　　菜兔肉 野兔肉
无漏子 　　海枣 棕榈科
蔓胡颓子根 　　牛奶子根
山甘草 　　野白纸扇 白纸扇 凉茶藤 白头公
五叶壁藤 　　 大绿藤 五爪龙 山里七
鳝鱼骨 　　 鳝骨
马蹄根 　　 马蹄蕨 牛蹄劳 马蹄树 地莲花 马蹄香 马蹄附子 观音座莲 观音莲 马蹄莲 马蹄风 山羊蹄 山猪肝 大凤尾 牛脚迹 羊蹄甲 渡饥草
杜衡 　　 马辛 双龙麻消
牛蒡汤 　　东洋萝卜 东洋人参
苍耳饮 　　 苍耳饮
当归拈痛汤 　　拈痛汤
水芹菜 　　水英 细本山芹菜 牛草 楚葵 刀芹 蜀芹 野芹菜
鳐鱼胆 　　劳子鱼胆 老板鱼胆
三出叶委陵菜 　　 草杜仲
小一口血 　　石上莲
锦香草 　　 熊巴掌 熊巴耳 猫耳朵草 铺地毡
羊胡髭草 　　关胡须草 羊毛胡子 羊胡子草
小二仙草 　　 船板草 豆瓣草 扁宿草 下风草 沙生草
八风散 　　八风汤
八味地黄丸 　　加味地黄丸
等宽鳞毛蕨 　　喀西鳞毛蕨
椆树桑寄生 　　 椆寄生 杂木寄生 青冈寄生
椆树桑寄生 　　 桑树寄生 桑寄生
重唇鱼 　　 似鲮鲴鱼 唇鲴
莽草根 　　 红茴香根 老根 八角脚根 披针叶茴香根
牡蛎 　　生蚝
山桂花 　　山白兰 拟含笑 合果木 果白兰花
附地菜 　　地胡椒
赤茯苓 　　 赤苓  赤茯
小金钱草 　　小金钱草 荷苞草 肉馄饨草 金锁匙 铜钱草 小马蹄金 黄疸草
阳桃 　　 五敛子 杨桃 洋桃 三廉子
磨盘根 　　磨盘草根
马蹄蕨 　　 福建观音座莲 马蹄树 观音座莲 地莲花
鸡爪簕 　　 鸡搥簕茜草科  一味莱菔子汤 一味莱菔子汤
吉丁虫 　　 溜皮虫 串皮虫
大风神验方 　　 大风神
利水益元散 　　山蓟 杨枹蓟 术 山芥 天蓟 山姜 山连 山精 乞力伽 冬白术
利水益元散 　　甜草根 红甘草 粉甘草 美草 密甘 密草 国老 粉草 甜草 甜根子 棒草
泡桐果 　　 毛泡桐
小岩白菜 　　 黄毛岩白色
勒管草 　　 绿山麻柳 水苋菜
啤酒花 　　 忽布 蛇麻花 酵母花 酒花
千打锤 　　 蛇舌癀 千打锤 羊须草 蛇总管 白花蛇舌草 小叶锅巴草 蛇舌草 珠仔草 白花十字草 蛇总管 定经草 糙茎耳草 二叶律 竹叶菜
蛇莓 　　 蛇泡草 龙吐珠 三爪风 鼻血果果 珠爪 蛇果 鸡冠果 野草莓 蛇藨 地莓 蚕莓 三点红 狮子尾 疗疮药 蛇蛋果 地锦 三匹风 蛇泡草 三皮风 三爪龙 老蛇泡 蛇蓉草 三脚虎 蛇皮藤 蛇八瓣 龙衔珠 小草莓 地杨梅 蛇不见 金蝉草 三叶藨 老蛇刺占 老蛇蔂 龙球草 蛇葡萄 蛇果藤 蛇枕头 蛇含草 蛇盘草 哈哈果 麻蛇果 九龙草 三匹草 蛇婆 蛇龟草 落地杨梅 红顶果 血疔草 野草莓
大昏头鸡 　　贯众 蕨薇菜根 大叶兰芝 大叶鲁基 牛尾贯众 昏头鸡 大叶贯众
铁树果 　　凤凰蛋
落地荷花 　　 五岭龙胆
九头狮子草 　　 接骨草 土细辛  万年青 铁焊椒 绿豆肯 王灵仁
八仙长寿丸 　　麦味地黄丸
苋 　　 雁来红 老少年 老来少 三色苋等
苋 　　 莫实 苋子 苋菜子
山柰 　　沙姜 山辣
山柰 　　 三奈子 三赖 三藾 沙姜 三柰 山辣
芫花 　　 药鱼草 老鼠花 闹鱼花 头痛花 闷头花 头痛皮 石棉皮 泡米花 泥秋树 黄大戟 蜀桑 鱼毒
老鹳草 　　 老鹳嘴 老鸦嘴 贯筋 老贯筋 老牛筋
牛膝酒 　　 海桐皮酒
软金丹 　　 圣力丹
利胎散 　　 利胎散
闹羊花 　　 黄杜鹃 三钱三 毛老虎 八厘麻
节节茶 　　 石节风 九节风 野珠兰
五京丸 　　 五京丸
黄芩 　　山茶根 土金茶根
小花鸢尾根 　　 八棱麻 菖蒲 华鸢尾 亮紫苞鸢尾 亮紫鸢尾 六棱麻 六轮茅 丝毛七
药绿柴 　　 药炭鼠李
韭菜 　　 丰本 草钟乳 起阳草 懒人菜 长生韭 壮阳草 扁菜
五加果 　　南五加果
鹧鸪脂 　　鹧鸪脂膏
直萼黄芩 　　半枝莲 滇紫花地丁 屏风草 小黄芩 兰花地丁
蘑菇 　　 蘑菇
防风 　　铜芸 回云 回草 百枝 百种
走马胎 　　马胎 山猪药 走马风
六物汤 　　胶艾六合汤
五指毛桃 　　佛掌榕 粗叶榕  五爪龙
加味清胃散 　　加味清胃汤
密叶天胡荽 　　 天胡萎 地光钱草 遍地锦 变地锦 破铜钱 满天星 圆叶止血草 滴滴金‧原
三物黄芩汤 　　黄芩汤
小蓟 　　 小鸡角刺 六月霜
对叶豆 　　 翼柄决明 翼轴决明 翼柄旃那 翅荚决明 有翅决明 对叶豆 印度黄槐 山扁豆 七金烛台‧原
安神镇惊丸 　　百益镇惊丸
天麻煎丸 　　沉香天麻煎丸
三香散 　　丝二 十八号贲象
瓜子藤 　　坎香藤 藤满山香 三托藤
维氏假瘤蕨 　　乌鸡骟 花狼鸡 地五爪
荷梗 　　 藕杆 莲蓬杆 荷叶梗
野苋菜 　　 绿苋 野苋 猪苋 细苋 糠苋
丽泽通气汤 　　丽泽通气散
四物补肝散 　　四物补血汤 四物补肝汤
当归黄耆饮 　　当归黄耆散
大补丸 　　苁蓉大补丸
旱莲花 　　 金莲花 旱莲花 菏叶莲 大红雀 荷叶花
四七汤 　　  七气汤
芎归补中汤 　　芎归寄生汤
鹿角菜 　　 鹿角菜
疏叶当归 　　 疏叶独活 红果当归 猪独活 骚羌活
红曲 　　 赤曲  摘元方   红米
双参 　　青羊参
珍珠草 　　称为珍珠草 十字珍珠 日开夜合 夜合草 夜合珍珠 阴阳草 老鸦珠 叶底珠
牡丹散 　　防风散
四味萸连丸 　　四味茱连丸
马思答吉汤 　　 乳香 乳头香 塌香 天泽香 摩勒香 杜噜香 多伽罗香 浴香
四味当归汤 　　四味汤
人参麦冬散 　　人参麦门冬散 人参麦冬汤
玉露散 　　玉露饮
五物人参饮 　　五物人参汤
天竺饮子 　　天竺散 天竺黄散
三棱煎 　　三棱丸
角叉菜 　　 鹿角菜
鸢翅骨 　　鹰翅骨
白降雪散 　　 白降雪丹
大榆蘑 　　 榆侧耳 榆耳 榆蘑
青盐散 　　青盐煎
杜茎山 　　 土恒山 踏天桥 水麻叶 山茄子 胡椒树 金砂根 白茅茶 白花茶 野胡椒 山桂花 水光钟
六月瓜 　　使藤子 野木瓜
鱼虱子 　　 鱼怪 鲤怪
龙胆饮子 　　龙胆饮
二生散 　　二生汤
蒟酱 　　 蒌子 蒌叶 槟榔蒟 槟榔蒌 大荜拨 大芦子 扶留藤 枸酱 蒟 蒟酱 蒟青 蒟叶 荖藤 娄叶 蒌 蒌藤 芦子 橹叶 梅 青蒟 青老叶 青蒌 土荜拨 萎叶 香芦子 黑摆 荖叶 蒌叶蒌 青萎 香荖
大蒜 　　葫 葫蒜 荤菜 独蒜 独头蒜
生附四君子汤 　　生附四君汤
土荆皮 　　罗卜药
四方藤 　　四方藤 舒筋藤 四方钻 四方风 宽筋藤 万丈藤 戟叶粉藤
辛夷清肺饮 　　辛夷清肺散 辛夷清肺汤
玄参解毒汤 　　玄参解毒散
山扁豆 　　 翼柄决明 翼轴决明 翼柄旃那 翅荚决明 有翅决明 对叶豆 印度黄槐 山扁豆 七金烛台原
蜜柑草 　　夜关门 地莲子
变叶美登木 　　变叶裸实 刺仔木 咬眼刺
纳鼻散 　　补遗纳鼻散
水马齿苋 　　碌耳草
归茸酒 　　归茸汤
灰叶 　　野蓝靛 野青树 假靛青 山青
九物大黄薄贴 　　大黄薄贴
赤汤 　　芍药汤
黄断肠草 　　断肠草 老龙草 土黄芩
湖北海棠 　　湖北海棠野海棠 野花红 花红茶 秋子 茶海棠 小石枣
观音救苦神膏 　　观音救苦膏 观音大士救苦神膏 大士膏
岩春草 　　地柏枝 野柏树 铁脚洞里仙 丹雪凤尾 伤寒草 止血草 止血丹 石蜈蚣 小雉鸡尾 墙锦 万年柏 洞里仙
大如圣汤 　　大如圣饮子
桦革裥菌 　　桦褶孔菌 蘑菇
三清百解绿蜡丸 　　百解绿蜡丸
补脬饮 　　千金补脬饮
丹蜜膏 　　丹蜜煎
凤眼果壳 　　凤眼果荚 苹婆壳
雾水葛 　　雾水葛地清散 脓见消 咄脓 啜脓膏 石茹   田薯   拔脓膏 生肉药 糯米藤   粘榔根 水麻秧
管南香 　　 大叶马兜铃 萝卜防己圆叶马兜铃 金银袋 大叶山总管
水麻tiao 　　藏氏蓼 凹叶蓼 水犁壁草 火烫草 拉拉草 红降龙草
沉香羌活汤 　　沉香羌活散 沉香导气散 沉香导气汤
百两金 　　八爪龙 山豆根 地杨梅 开喉箭 叶下藏珠 状元红 铁雨伞 真珠凉伞 野猴枣 珍珠伞 竹叶胎 蛇连天 八爪金龙 白八爪 高脚凉伞
轻粉 　　汞粉 峭粉 水银粉 腻粉 银粉 扫盆
荭草根 　　水红花根 红蓼根
矾黄丸 　　神仙黄矾丸 蜡矾丸 黄矾丸 护膜丸 黄蜡丸 神仙蜡矾丸 神效黄矾丸 经验矾蜡丸 矾蜡丸
芙蓉散 　　芙蓉膏
大效金丝膏 　　石胆散
人参清镇丸 　　人参清金丸
风寒草 　　临时救 过路黄 小过路黄 胡氏排草 对生黄花叶 小风寒 红头绳 黄花珠 九莲灯 大疮药 爬地黄
四味换肠丸 　　白术止痢丸
百应神膏 　　百应膏
麦门冬理中汤 　　麦门冬汤
大黑神丸 　　汉防已 瓜防已 石蟾蜍 长根金少年犯
十层膏 　　夹纸膏
黄花山柰 　　石竹花 岩白姜 土山奈 水马鞭 若竹叶黄花山柰
补阴养阳厚朴散 　　厚朴散
金银煎 　　金银汤
牛角七 　　黑羌活 肉五加 雪秦归 丽江土当归
含膏丸 　　含奇丸
蛾药 　　火草 火把花
龙须藤 　　梅花藤 梅花入骨丹  菊花木 五花血藤 圆龙 蛤叶 乌郎藤 罗亚多藤 百代藤 乌皮藤 搭袋藤 钩藤 田螺虎树
四物龙胆汤 　　龙胆汤
椋子木 　　松杨 凉木 丁木树 梾木 即来 松杨 灯台树
产后丸 　　人参回生丹
紫金血藤 　　血藤 黄皮血藤 气藤 香血藤
甘粉散 　　甘草散
收肠养血和气丸 　　收肠丸
贝齿膏 　　贝齿汤
四味茱连丸 　　四味萸连丸
毛脉南蛇藤 　　猪粪藤。
西藏凹乳芹根 　　独脚当归 野当归
七角白蔹 　　葎叶蛇葡萄 小接骨丹 葎叶白蔹 活血丹
七星草 　　鹅掌金星草 金鸡脚 鹅掌金星
陈氏乌须丸 　　乌须至补丹
大补延龄膏 　　太极膏
补虚千金散 　　千金散
火炭母草 　　火炭毛 乌炭子 运药 火炭母 山荞麦草 地肤蝶 黄鳝藤 晕药 火炭星 鹊糖梅 乌白饭草 红梅子叶 白饭草 大叶沙滩子 乌饭藤 水沙柑子 鸪鹚饭 水退瘀 胖根藤 老鼠蔗 小晕药 花脸晕药 蓼草 白乌饭藤 信饭藤 酸管杖 大沙柑草 火炭藤 水洋流 酸广台 接骨丹 大红袍 野辣蓼
小柴胡去半夏加栝楼汤 　　小柴胡去半夏加栝楼根汤 柴胡栝楼根汤
鹭肉 　　白鹭 春鉏 鹭鸶 白乌 丝禽 雪客 一杯鹭 小白鹭 白鹭鸶
桦叶葡萄根皮 　　大血藤
如圣煎丸 　　金铁如圣煎丸
四物二连汤 　　二连四物汤
丹参煮散 　　丹参散
苍桂五苓散 　　二术五冬散 苍术五苓散
百霜丸 　　百灵丸
鸡苏饼 　　鸡苏饼子
慈竹沥 　　慈竹油
小鬼钗 　　鹿角草 山黄连 土黄连 不怕日草 小鬼叉手 鬼针草 鬼疙针 刺针草 细叶鬼针草 细叶刺针草 小刺叉 锅叉草 一包针
白花九里明 　　白花 青羊藤 六月零 千里光 九里明 管芽
维特他 　　野芝麻 野芝麻棵 山芝麻
十六味地黄丸 　　十六味儿丸
不凋木 　　格棒子 格棒棒
画眉膏 　　断乳画眉膏 断画眉散
龙葵子 　　苦菜 苦葵 老鸦眼睛草 天茄子 天茄苗儿 天天茄 救儿草 后红子 水茄 天泡草 老鸦酸浆草 天泡果 七粒扣 乌疔草 野茄子 黑姑娘 乌归菜 野海椒 黑茄 地泡子 地戎草 山辣椒 山海椒 野茄菜 耳坠菜 野辣角 天茄菜 狗钮子 野辣椒 野葡萄 酸浆草 水苦菜 野伞子 飞天龙 黑天天 黑星星 黑黝黝  黑悠悠  黑油油  龙葵草 天茄子 苦葵 黑茄子 野茄子 野辣椒 野葡萄 潍坊叫“yanyou”。狗茄子
杀疥药 　　杀疥散
山陀螺 　　黄金梢 山暗赤
野木耳菜 　　假茼蒿 冬风菜 飞机菜 满天飞 安南草 金黄花草 皇爷膏 假苦荠 观皮芥 解放草 飞花菜 土三七
木绣球茎 　　木绣球 木球荚蒾 绣球花 八仙花 紫阳花
赤霜散 　　枣信丹 金枣丹
小牛肋巴 　　斗鸡草
山禾串 　　茅山茶 野茶里
半夏化痰丸 　　半夏丸
更生丸 　　白茯苓丸
九子连环草 　　珠串珠 夜白鸡 九节虫 串白鸡   硬九头狮子草 肉连环  连环草   一串纽子
灵升散 　　升丹
一滴金 　　一滴金丸
热痱草 　　大叶香薷 假鱼香 小鱼仙草 山苏麻 土荆芥 月味草 野香薷 姜芥 四方草 痱子草 霍乱草 香花草
诃子人参汤 　　诃子散
英夷戒烟丸 　　英人戒烟丸
一包花 　　红花倒水莲
六味稀痘饮 　　稀痘饮
补肝芜菁子散 　　芜菁子散
万应救急熊锭神丹 　　熊锭神丹
大效四神丸 　　四圣丸
马耳草 　　竹菜 竹仔菜 竹竹菜 竹叶菜 火柴头 千日晒 大号日头舅 大叶兰花竹仔草 粉节草 大叶兰花草 竹节花
川消散 　　川消散
木香三棱汤 　　木香三棱散
麻口皮子药 　　皮子药 总管皮 满山香 山胡椒
九头妖 　　黄冠菊
疔疮丸 　　神验疔毒丸 疔疮走黄丸
牛榔散 　　牛郎顶
延寿酒药仙方 　　养寿丹
陈皮厚朴汤 　　丝八 二十四号渐象方
黄心果 　　歪脖子果 黄牙果 化皮果 酸果 云树 大叶藤黄 云南莽吉柿
沉香鳖甲煮散 　　沉香鳖甲散
人参补肺汤 　　参芪补肺汤 人参补气汤
山尖菜 　　山尖子
化水种子汤 　　化水种玉丹
湖瓜草 　　钮草 七子关
芡实 　　鸡头米 卵菱 鸡瘫 鸡头实 雁喙实 鸡头 雁头 乌头 鸿头 水流黄 水鸡头 刺莲蓬实 刀芡实 鸡头果 苏黄 黄实
矮叶书带蕨 　　书带蕨 细叶书带蕨 细柄书带蕨 小叶书带蕨 苔草书带蕨 龙骨书带蕨 轴果书带蕨。
蘡薁藤 　　野葡萄藤 接骨藤 甘古藤 酸古藤 禾黄藤 禾花子藤 猫耳藤 山红羊 山苦瓜 小平布藤 野桑叶
禹余粮 　　太一余粮 石脑 禹哀 太一禹余粮 白余粮 石中黄子 天师食 山中盈脂 石饴饼 石中黄 白禹粮 禹粮石 余粮石 禹粮土
观音救急丹 　　感应救急丹
沉香匀气散 　　沉香均气散
吴仙丹 　　茱苓丸
太清四扇丹 　　通神保明丹
补旧汤 　　救苦汤
收膜汤 　　收脂汤
灰包 　　牛屎菰 蛇枕 多形马勃 马皮泡 灰泡 马粪包
疗本滋肾丸 　　疗肾滋本丸
水苏 　　水苏 鸡苏  望江青 还精草 玉莶草 银脚鹭鸶 血见愁  望江青 天芝麻  白马蓝  泥灯心 方草鸟草儿 野地蚕  望江青 银脚鹭鸶 天芝麻  白根草  元宝草  芝麻草  水鸡苏  宽叶水苏
土玉桂 　　假肉桂
抵当乌头桂枝汤 　　抵当乌头桂枝汤
黄花紫堇 　　冬司
补骨脂煎 　　补骨脂散
至圣来复丹 　　来复丹 正一丹 养正丹 黑锡丹 二和丹 来复丸。
天麻饼子 　　天麻饼
小石仙桃 　　对叶草 双叶岩珠 岩珠 双叶石枣 珠兰 岩豆 山枣 小叶石橄榄 水橄榄柳仔 果上叶
虎掌草叶 　　虎掌叶
白金果榄 　　山总管 百解薯 银袋 苦凉藤
没食子 　　墨石子  无食子  没石子  无石子  麻茶泽
二附散 　　二附汤
田基黄 　　地耳草 黄花草 雀舌草 禾霞气
防风胜金汤 　　匏五 三十七号无妄方
苓甘五味加姜辛半夏杏仁汤 　　苓甘味姜辛夏仁汤 茯苓甘草五味姜辛汤 茯苓甘草五味辛夏仁汤
银不换 　　毛蔘箕藤 银锁匙 金线风
羊肚食方 　　羊肚羹
龟背散 　　龟胸丸
沉香郁金散 　　十三号革象方 石五
大远志丸 　　远志丸
玄精石 　　元精石 太乙玄精石 龟背玄精石 阴精石 阴精石 玄英石
豨莶 　　豨莶草 狗膏 猪膏草
铁脚草 　　高山金粉蕨 黑足金鸡蕨
补阴散 　　滋阴降火汤
防风散痧汤 　　金一 一号乾象方
附术散 　　附子散 附术汤
五味膏 　　五味子膏
金锁子丸 　　金锁子丸
沉香附子汤 　　沉附汤 二味沉附汤
九州岛岛岛岛堇菜 　　茶匙黄 光匍伏堇
三合济生汤 　　济生汤
回阳酒 　　回阳汤
白牙药升麻散 　　白芷升麻散
水马桑 　　马桑 千年红 马鞍子 水马桑 野马桑  马桑柴  乌龙须 醉鱼儿 闹鱼儿  黑龙须 黑虎大王  紫桑
大槟榔丸 　　大槟榔丸
笔罗子 　　野枇杷   粗糠柴 花木香   山枇杷 毛鼻良
三退饮 　　三退散
二术丸 　　枣肉丸
乌头栀子汤 　　乌头汤
三角泡 　　假苦瓜 假蒲达 包袱草 风船葛 鬼灯笼 三角灯笼 金丝苦楝 三角藤 倒地铃 棕子草 炮掌果 小果倒地铃 白花仔草 带藤苦楝 灯笼草
沉香定痛丸 　　沉香化滞定痛丸
独脚蟾蜍 　　掌裂草葡萄 光叶草葡萄   金线吊蛤蟆 石蟾蜍
南蛇藤果 　　合欢花 狗葛子 皮猢子 鸦雀食
普贤菜 　　大叶碎米荠 丘乳巴 石格菜
大莽草散 　　大莽草散
生地黄煎破血丸 　　生地黄煎丸
姜石 　　姜石相关图片沙姜石 裂姜石 礓砾 蛎石
补中托里汤 　　补中托里散
柔毛水杨梅 　　水杨梅 地椒 头晕药 蓝布正 路边香 卜地香 凤凰窝 换骨丹 南布正 毛通经 虎掌叶 小益母 香鸡归 老蛇骚 路边黄 乌骨鸡 草水杨梅 中华水杨梅 五气朝阳草 大仙鹤草 大路边黄 头晕草 大疮药 龙须草 瘦狗还阳 萝卜解 蝴蝶菜 水白菜 水儿惊风草 草本水杨梅。
老熊花 　　豹子眼睛花 芙蓉花 豹子眼睛果
分湿消毒至神丹 　　分湿消毒丹
珠芽半支 　　狗牙菜 狗牙瓣 小箭草 零余子景天 珠芽石板菜 零余子佛甲草
鸡子索饼 　　鸡子馎饦
千金散子 　　千金散
水虾草 　　野合香 山芝麻 棒棒草
黄龙藤叶 　　五香藤叶
回回蒜果 　　水杨梅果
芍药四物解肌汤 　　四物汤 芍药解肌汤 四物解肌汤
兴安独活 　　多裂老山芹  老山芹  髯毛独活  牛防风 兴安牛防风
传尸丸 　　鳗鱼丸
六轴子 　　土连翘  山芝麻   闹羊花子 天芝麻  羊踯躅果
佐关煎 　　左关煎
黑风散 　　广藤 小广藤 土藤 铁线藤 青藤 车线藤
连须葱白香豉汤 　　葱白香鼓汤
水苦荬 　　半边山 谢婆菜   水莴苣 水菠菜   大仙桃草   水仙桃草   仙桃草 鸭儿草 虫虫草   仙人对座草   水对叶莲 水泽兰   蚊子草 蚧蛙草 接骨桃 水上浮萍 水波浪 水窝窝 芒种草 二代草。
野茶辣 　　软柏木 大苦木 假吴萸 鱼胆木 假茶辣 鱼苦胆 山黄皮 老鸦饭 亚洛轻 石岩青 亚罗青 野胡椒 抱鸡婆 老鸦树 罗汉香 白酒药 野白腊
甜瓜蒂 　　瓜蒂 瓜丁 苦丁香 甜瓜把
中正汤 　　酸枣散
冬葵根汤 　　冬葵根汤
一滴金丸 　　一滴金
二肝丹 　　二肝丸
