大细辛 　　马蹄细辛 苕叶细辛
马唐 　　羊麻 羊粟 马饭 抓根草 鸡爪草 指草 蟋蟀草 抓地龙 蔓子草
五代同堂 　　有乳茄 黄金果 五子拜寿
上天梯 　　 麦刁七 上天梯 红花酸浆草 大酸味草 麦子芪 三块瓦
两面刺 　　白马刺
猪苓 　　野猪粪 地乌桃 粉猪苓
汉防己煮散 　　 汉防己煮散
杉寄生 　　 枫木寄生 龙眼寄生 发冷果寄生 沙梨寄生 柿树寄生 菠萝树寄生 白蜡树寄生 八角鞘花寄生 寄生包
大黄花 　　 白蒿茶 兴安芯芭 芯玛芭 达乌里芯巴
升麻泄热煎 　　升麻煎
滇藁本 　　 黑藁本
五补散 　　 五补散
椋子木 　　松杨 凉木 丁木树 梾木 即来 松杨 灯台树
凤凰木 　　金凤花 红花楹树 火树 洋楹
沙芥 　　沙萝卜 沙白菜 沙芥菜 山萝沙卜 沙盖
通城虎 　　 五虎通城 定心草 万丈藤 大散血 血蒟
叉歧繁缕 　　 歧枝繁缕 双歧繁缕 叉繁缕
红辣蓼 　　辣柳草 蓼子草等
八味还睛散 　　还晴散
青兔耳风 　　走马丹 紫背金牛 紫背草 走马胎 土兔耳风 血筋草 罗汉草
大青 　　 大青叶 臭大青
一物瓜蒂汤 　　 一物瓜蒂汤
中消黄耆汤 　　 中消黄耆汤
水葫芦 　　 水葫芦 凤眼莲
大叶藜 　　血见愁
水曲柳 　　 东北梣
马鞭散 　　 马鞭散
绛梨木叶 　　鹿解刺叶
野苎麻 　　 磨盘草 野麻
茴香茎叶 　　茴香菜  草蘹香 香丝菜
天门冬 　　 三百棒 武竹 丝冬 老虎尾巴根 天冬草 明天冬
土圞儿 　　地栗子 土子 土蛋
八角枫根 　　 白龙须
荜茇根 　　 非里肥厘磨耶 非力肥厘木耶 回回
苦竹笋 　　苦笋
大达生散 　　 大达生散
石蟹 　　蟹化石 大石蟹 灵石蟹 石螃蟹
小调中汤 　　 小调中汤
利金汤 　　 利金汤
蓼子草 　　辣柳草 蓼子草
明目夜光丸 　　 明目夜光丸
水朝阳草 　　 水朝阳花 水朝阳草 水葵花 野葵花
水朝阳草 　　 水朝阳花 水朝阳草 水葵花 野葵花
吕宋果 　　 海南马钱 金马长子 解热豆
鹅血 　　家雁血
扭肚藤 　　 谢三娘 白金银花
鲨鱼皮 　　鲛鱼皮
水蔗草 　　 假雀麦 竹子草 牙尖草 丝线草 糯米草 米草
伽蓝菜 　　鸡爪三七 假川连 小灯笼草 大还魂
异功散 　　叫五味异功散
蝎子七 　　 石风丹 红蝎子七 朱砂七 朱砂参 狼巴子 草河车 染布子 红粉 猴子七 野高粱 猴娃子 红三七 然波 山高粱 剪刀七 转珠莲 白粉 紫蓼 蝎子七 土蜂子 蜂子帽 草血竭 弓腰老 拳参
十两叶 　　 十两叶
野香橼花 　　 小毛毛花 猫胡子花
楮实 　　 神仙楮实丸
乌姜丸 　　 乌姜丸
鞭叶耳蕨 　　 华北耳蕨
小续命丸 　　 小续命丸
土鳖酒 　　 土鳖酒
滇白药子 　　 防风党参 复叶薯蓣 高山薯蓣 过沟藤 毛芋头 三叶薯
胡荽 　　胡荽 香菜 香荽
沼泽念珠藻 　　湿地葛仙米
川芎羌活散 　　 川芎羌活散
无患子皮 　　 槵子肉皮 无患子荚 槵子皮
凤庆鸡血藤 　　 鸡血藤 须宁鸡血藤 云南鸡血藤
四叶细辛 　　 灯笼花 分叶芹 假细辛 白毛七 查干-曹布得力格-查黑日麻 大叶细辛 灯龙花 灯笼菜花 独摇草 拐拐细辛 四叶七 四叶细辛 苏叶蒿 天王七 万根丹 杨梅菜 杨梅草 雨伞菜
蓖麻蚕 　　 木薯蚕
红敷地发 　　 石发 石莲
羊角草 　　羊角桃 蛇舌草 贵州
华南毛蕨 　　 金星草 密毛小毛蕨 冷蕨棵 大风寒
笔筒草 　　  木贼 锉草 节骨草 西伯里
去腐散 　　千金散
光果南蛇藤 　　 一条龙 穿山龙 青山龙
海蓬子 　　 海芦笋 海虫草 盐角草 抽筋菜 盐葫芦 胖蒿子草 蜡烛蒿子 海胖子 海甲菜
灰藋 　　小藜 小叶藜
梓木 　　 檫树 南树 山檫 青檫 桐梓树 梨火哄 梓木 黄楸树 刷木 花楸树 鹅脚板 半风樟
连翘散 　　清肺散
羯布罗香 　　 油树 戈理曼养
白檀 　　 山葫芦 灰木 砒霜子 蛤蟆涎 白花茶 牛筋叶 檀花青
加味犀角地黄汤 　　 白芍药 金芍药
胖大海 　　  大海 大海子 大洞果
蓑草 　　 野席草  纲目拾遗   野灯芯草 马棕根 野马棕 野灯草
土三七 　　 养心草 倒山黑豆  福建民间
刺龙牙 　　刺老牙 鹊不踏 刺老鸦 虎阳刺
桑白皮 　　桑根白皮 桑根皮 桑皮 白桑皮
赛葵 　　黄花草或黄花棉
棕榈花 　　 棕榈木子 棕笋
五色戒烟丸 　　 五色戒烟丸
林问荆 　　 林下木贼
木竹子 　　 多花山竹子 山竹子 山桔子 大核果 竹节果 酸桐子 不碌果 大肚脐 查牙桔 铁色 楠椰桔 木熟果 山枇杷 咪枢 白树仔 酸白果 酸果 花瓶果 阿毕早
大省风汤 　　 大省风汤
甘遂 　　主田 重泽 甘藁 陵藁 甘泽 苦泽 白泽 鬼丑 陵泽
苦艾 　　 白特 羊毛火绒草
土大黄 　　红筋大黄 金不换 血三七 化雪莲 鲜大青
黄紫堇 　　 黄龙脱壳 气草
紫菀 　　 青苑 紫倩 小辫
土大黄 　　 大黄酸模 红筋大黄 金不换 散血七 土大黄 血丝大黄
土大黄 　　 大黄
